file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\Bank-Account-Draft-master\Bank Account\src\com\madonahsyombua\bank\User.java,com.madonahsyombua.bank.User,class,2,5,3,2,14,1,0,18,0,0.7090909,0.58181816,1.0,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,5,66,7,1,0,2,0,7,4,8,1,8,1,0,0,0,58,1,0
C:\Bad_Smells_Java_program\Bank-Account-Draft-master\Bank Account\src\com\madonahsyombua\bank\ATM.java,com.madonahsyombua.bank.ATM,class,4,5,1,4,49,1,0,27,21,0.0,0.0,0.0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,174,1,11,3,0,0,47,33,22,15,22,2,0,0,0,72,1,0
C:\Bad_Smells_Java_program\Bank-Account-Draft-master\Bank Account\src\com\madonahsyombua\bank\Transaction.java,com.madonahsyombua.bank.Transaction,class,1,2,1,1,5,1,0,2,0,0.3125,1.0,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,2,27,3,0,0,0,0,3,1,5,0,4,1,0,0,0,12,1,0
C:\Bad_Smells_Java_program\Bank-Account-Draft-master\Bank Account\src\com\madonahsyombua\bank\Bank.java,com.madonahsyombua.bank.Bank,class,3,7,4,3,18,1,0,10,1,0.5714286,0.47619048,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,74,6,7,3,0,2,3,9,19,0,15,3,0,0,0,43,1,0
C:\Bad_Smells_Java_program\Bank-Account-Draft-master\Bank Account\src\com\madonahsyombua\bank\Account.java,com.madonahsyombua.bank.Account,class,4,9,5,4,9,1,0,10,0,0.5416667,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,2,42,4,2,0,0,0,3,4,9,1,8,1,0,0,0,26,1,0
