file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\Car-Dealership-master\src\car_dealership\Employee.java,car_dealership.Employee,class,3,6,3,3,5,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,12,0,1,4,1,1,0,0,0,32,1,0
C:\Bad_Smells_Java_program\Car-Dealership-master\src\car_dealership\Customer.java,car_dealership.Customer,class,2,4,2,2,9,1,0,1,4,0.5555556,0.44444445,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,35,4,0,0,0,0,4,0,6,1,3,0,0,0,0,18,1,0
C:\Bad_Smells_Java_program\Car-Dealership-master\src\car_dealership\Vehicle.java,car_dealership.Vehicle,class,1,5,4,1,28,1,0,4,0,0.5,0.6363636,1.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,3,71,17,0,13,0,8,5,6,16,10,8,2,0,0,0,26,1,0
C:\Bad_Smells_Java_program\Car-Dealership-master\src\car_dealership\Dealership.java,car_dealership.Dealership,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,3,5,0,5,0,0,0,0,12,1,0
