file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\SimplexNoise-master\src\ch\project\inter\NoiseImage.java,ch.project.inter.NoiseImage,class,2,4,2,2,15,1,0,15,31,0.73333335,0.5,1.0,10,0,4,6,0,0,4,0,0,0,3,0,0,3,0,0,0,0,7,62,7,2,0,1,6,0,34,19,18,11,2,0,0,0,54,1,0
C:\Bad_Smells_Java_program\SimplexNoise-master\src\ch\project\inter\SimplexNoise.java,ch.project.inter.SimplexNoise,class,2,4,2,2,48,1,0,6,22,0.825,0.3,0.3,8,7,3,4,0,1,5,0,0,0,5,5,0,5,0,0,0,0,26,293,8,2,0,0,19,0,911,212,289,150,2,0,0,0,101,1,0
C:\Bad_Smells_Java_program\SimplexNoise-master\src\ch\project\inter\Starter.java,ch.project.inter.Starter,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,1,0,1,0,0,0,0,14,1,0
