file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Java-OOD-JDeodorant\dancing-pendulums-master\src\dancingPendulums\DancingPendulums.java,dancingPendulums.DancingPendulums,class,2,3,1,2,6,5,0,17,1,0.61111104,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,12,0,0,1,0,11,2,0,0,57,0,3,0,0,3,1,41,18,9,19,2,0,0,1,68,1,0
C:\Java-OOD-JDeodorant\dancing-pendulums-master\src\dancingPendulums\Pendulum.java,dancingPendulums.Pendulum,class,1,2,1,1,3,1,0,6,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,5,0,0,0,0,5,0,0,5,28,0,0,0,0,3,0,4,11,13,7,0,0,0,0,19,1,0
C:\Java-OOD-JDeodorant\dancing-pendulums-master\src\dancingPendulums\Bob.java,dancingPendulums.Bob,class,0,1,1,0,2,1,0,7,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,21,0,0,0,0,12,0,5,6,20,6,0,0,0,0,17,1,0
