file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Task2.java,Task2,class,0,1,1,0,2,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,1,0,1,1,0,1,0,1,0,0,0,6,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\FileClass.java,FileClass,class,1,3,2,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,8,3,8,0,0,0,0,22,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Task.java,Task,class,1,2,1,1,3,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,17,0,1,0,0,0,0,1,6,0,5,1,0,0,0,9,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\FileTask.java,FileTask,class,1,2,1,1,3,2,0,2,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,16,0,0,0,1,0,0,0,2,0,2,1,0,0,0,10,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Task3.java,Task3,class,0,1,1,0,3,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,0,0,0,2,2,1,1,1,2,0,0,0,4,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Application3.java,Application3,class,2,2,0,2,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,6,0,2,6,2,1,0,0,0,18,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Application2.java,Application2,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,4,0,4,0,0,0,0,10,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Sum.java,Sum,class,0,2,2,0,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
C:\Java-OOD-JDeodorant\MultiThreading-master\src\Application.java,Application,class,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,1,1,5,11,11,6,10,1,0,0,0,28,1,0
