file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\Snake-Project-master\src\SnakeProject.java,SnakeProject$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Bad_Smells_Java_program\Snake-Project-master\src\SnakeProject.java,SnakeProject$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\Bad_Smells_Java_program\Snake-Project-master\src\SnakeProject.java,SnakeProject,class,2,6,4,2,46,10,0,39,42,0.8882353,0.3382353,0.5808824,17,1,16,0,0,1,17,0,0,0,19,1,0,19,0,0,5,0,2,242,1,4,19,0,5,15,96,45,19,38,2,4,1,0,103,1,0
C:\Bad_Smells_Java_program\Snake-Project-master\src\SnakeProject.java,SnakeProject$Anonymous4,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,11,-1,0
C:\Bad_Smells_Java_program\Snake-Project-master\src\SnakeProject.java,SnakeProject$DrawingPanel,innerclass,1,1,0,1,5,5,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,32,0,1,2,1,0,2,21,4,1,2,2,0,0,0,30,0,0
C:\Bad_Smells_Java_program\Snake-Project-master\src\SnakeProject.java,SnakeProject$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,20,-1,0
