file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\simple-wumpus-game-master\src\Hint.java,Hint,class,0,1,1,0,3,1,0,1,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,1,0,0,0,1,0,0,0,20,1,0
C:\Bad_Smells_Java_program\simple-wumpus-game-master\src\Wumpus.java,Wumpus,class,0,1,1,0,9,1,0,1,0,0.2857143,0.8095238,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,2,31,5,0,2,0,0,0,0,4,3,2,1,0,0,0,21,1,0
C:\Bad_Smells_Java_program\simple-wumpus-game-master\src\Trap.java,Trap,class,0,1,1,0,8,1,0,0,0,0.33333334,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,28,4,0,2,0,0,0,0,4,0,2,1,0,0,0,18,1,0
C:\Bad_Smells_Java_program\simple-wumpus-game-master\src\WumpusTestHarness.java,WumpusTestHarness,class,4,4,0,4,33,1,0,21,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,148,0,5,10,1,0,33,44,38,3,26,7,0,0,0,78,1,0
