file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Java-OOD-JDeodorant\LinkedList-Implementation-w-Java-main\src\Holder.java,Holder,class,2,4,2,2,16,1,0,4,0,0.5185185,0.5555556,1.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,39,9,0,10,0,1,2,0,7,0,4,1,0,0,0,19,1,0
C:\Java-OOD-JDeodorant\LinkedList-Implementation-w-Java-main\src\Factory.java,Factory,interface,1,2,1,1,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0
C:\Java-OOD-JDeodorant\LinkedList-Implementation-w-Java-main\src\Product.java,Product,class,1,6,5,1,10,1,0,1,0,0.33333334,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,26,6,0,4,0,0,3,0,4,1,3,1,0,0,0,18,1,0
C:\Java-OOD-JDeodorant\LinkedList-Implementation-w-Java-main\src\Project1.java,Project1,class,2,2,0,2,23,1,0,21,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,96,0,1,1,8,0,22,28,9,0,8,3,0,0,0,33,1,0
C:\Java-OOD-JDeodorant\LinkedList-Implementation-w-Java-main\src\FactoryImpl.java,FactoryImpl,class,4,6,2,4,58,1,0,23,0,0.23809527,0.85714287,0.85714287,14,0,14,0,0,0,14,0,0,0,3,0,0,3,0,0,0,0,2,284,10,9,27,0,7,3,34,68,6,50,4,0,0,0,41,1,0
