file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Java-OOD-JDeodorant\java-font-dialog-master\src\dialogs\Main.java,dialogs.Main$Anonymous1,anonymous,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,-1,0
C:\Java-OOD-JDeodorant\java-font-dialog-master\src\dialogs\JFontDialog.java,dialogs.JFontDialog$Anonymous1,anonymous,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
C:\Java-OOD-JDeodorant\java-font-dialog-master\src\dialogs\Main.java,dialogs.Main,class,0,0,0,0,1,1,0,16,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,3,5,5,0,5,0,1,0,1,21,1,0
C:\Java-OOD-JDeodorant\java-font-dialog-master\src\dialogs\JFontDialog.java,dialogs.JFontDialog,class,1,4,3,1,11,1,0,30,8,0.7717391,0.16666667,0.16666667,8,1,4,4,0,0,4,0,0,0,11,10,0,10,0,1,0,0,3,125,1,1,2,0,0,20,48,31,0,25,1,1,0,0,75,1,0
